P: Electricity | Images: []
P: in-text-1 | Images: []
P: Name a device that helps to maintain a potential difference across a conductor. | Images: []
P: Solution: | Images: []
P: Battery consisting of one or more electric cells is one of the devices that help to maintain a potential difference across a conductor. | Images: []
P: What is meant by saying that the potential difference between two points is 1 V? | Images: []
P: Solution: | Images: []
P: When 1 J of work is done to move a charge of 1 C from one point to another, it is said that the potential difference between two points is 1 V. | Images: []
P: How much energy is given to each coulomb of charge passing through a 6 V battery? | Images: []
P: Solution: | Images: []
P: We know that the potential difference between two points is given by the equation, V = W/Q, where, | Images: []
P: W is the work done in moving the charge from one point to another | Images: []
P: Q is the charge | Images: []
P: From the above equation, we can find the energy given to each coulomb as follows: W = V × Q | Images: []
P: Substituting the values in the equation, we get W = 6V × 1C = 6 J | Images: []
P: Hence, 6 J of energy is given to each coulomb of charge passing through a 6 V of battery. | Images: []
P: in-text-2 | Images: []
P: On what factors does the resistance of a conductor depend? | Images: []
P: Solution: | Images: []
P: The resistance of the conductor depends on the following factors: | Images: []
P: Temperature of the conductor | Images: []
P: Cross-sectional area of the conductor | Images: []
P: Length of the conductor | Images: []
P: Nature of the material of the conductor | Images: []
P: Will current flow more easily through a thick wire or a thin wire of the same material, when connected to the same source? Why? | Images: []
P: Solution: | Images: []
P: Resistance is given by the equation, | Images: []
P: R = ρ l/A | Images: []
P: where, | Images: []
P: ρ is the resistivity of the material of the wire, | Images: []
P: l is the length of the wire | Images: []
P: A is the area of the cross-section of the wire. | Images: []
P: From the equation, it is evident that the area of the cross-section of wire is inversely proportional to the resistance. Therefore, thinner the wire, more the resistance and vice versa. Hence, current flows more easily through a thick wire than a thin wire. | Images: []
P: Let the resistance of an electrical component remain constant while the potential difference across the two ends of the component decreases to half of its former value. What change will occur in the current through it? | Images: []
P: Solution: | Images: []
P: The change in the current flowing through the electrical component can be determined by Ohm’s Law. | Images: []
P: According to Ohm’s Law, the current is given by | Images: []
P: I = V/R | Images: []
P: Now, the potential difference is reduced to half keeping the resistance constant, Let the new voltage be V’ = V/2 | Images: []
P: Let the new resistance be R’ = R and the new amount of current be I’. | Images: []
P: The change in the current can be determined using Ohm’s law as follows: | Images: ['media/image1.png']
P: Therefore, the current flowing the electrical component is reduced by half. | Images: []
P: Why are coils of electric toasters and electric irons made of an alloy rather than a pure metal? | Images: []
P: Solution: | Images: []
P: The melting point of an alloy is much higher than a pure metal because of its high resistivity. At high temperatures, alloys do not melt readily. Therefore, alloys are used in heating appliances such as electric toasters and electric irons. | Images: []
P: Use the data in the table given below and answer the following questions. | Images: []
P:  | Images: ['media/image2.png']
P: Which among iron and mercury is a better conductor? | Images: []
P: Which material is the best conductor? | Images: []
P: Solution: | Images: []
P: (a) Iron is a better conductor than mercury because iron has lower resistivity than mercury. | Images: []
P: (b) Silver has the lowest resistivity among the given materials, therefore silver is the best conductor of electricity. | Images: []
P: in-text-3 | Images: []
